"Statistic Label","Year","Electoral Division","UNIT","VALUE"
"Median Gross Household Income","2022","Dalkey-Avondale, Dún Laoghaire-Rathdown","€","84748"
"Median Gross Household Income","2022","Dalkey-Bullock, Dún Laoghaire-Rathdown","€","80068"
"Median Gross Household Income","2022","Dalkey-Coliemore, Dún Laoghaire-Rathdown","€","63960"
"Median Gross Household Income","2022","Dundrum-Balally, Dún Laoghaire-Rathdown","€","85605"
"Median Gross Household Income","2022","Dundrum-Kilmacud, Dún Laoghaire-Rathdown","€","94275"
"Median Gross Household Income","2022","Dundrum-Sandyford, Dún Laoghaire-Rathdown","€","84556"
"Median Gross Household Income","2022","Dundrum-Sweetmount, Dún Laoghaire-Rathdown","€","98721"
"Median Gross Household Income","2022","Dundrum-Taney, Dún Laoghaire-Rathdown","€","82846"
"Median Gross Household Income","2022","Dún Laoghaire-East Central, Dún Laoghaire-Rathdown","€","72575"
"Median Gross Household Income","2022","Dún Laoghaire-Glasthule, Dún Laoghaire-Rathdown","€","77220"
"Median Gross Household Income","2022","Dún Laoghaire-Glenageary, Dún Laoghaire-Rathdown","€","113581"
"Median Gross Household Income","2022","Dún Laoghaire-Monkstown Farm, Dún Laoghaire-Rathdown","€","66761"
"Median Gross Household Income","2022","Dún Laoghaire-Mount Town, Dún Laoghaire-Rathdown","€","53424"
"Median Gross Household Income","2022","Dún Laoghaire-Sallynoggin East, Dún Laoghaire-Rathdown","€","69862"
"Median Gross Household Income","2022","Dún Laoghaire-Sallynoggin South, Dún Laoghaire-Rathdown","€","50777"
"Median Gross Household Income","2022","Dún Laoghaire-Sallynoggin West, Dún Laoghaire-Rathdown","€","88274"
"Median Gross Household Income","2022","Dún Laoghaire-Salthill, Dún Laoghaire-Rathdown","€","74026"
"Median Gross Household Income","2022","Dún Laoghaire-Sandycove, Dún Laoghaire-Rathdown","€","85666"
"Median Gross Household Income","2022","Dún Laoghaire-West Central, Dún Laoghaire-Rathdown","€","65928"
"Median Gross Household Income","2022","Foxrock-Beechpark, Dún Laoghaire-Rathdown","€","99129"
"Median Gross Household Income","2022","Foxrock-Carrickmines, Dún Laoghaire-Rathdown","€","108829"
"Median Gross Household Income","2022","Foxrock-Deansgrange, Dún Laoghaire-Rathdown","€","100378"
"Median Gross Household Income","2022","Foxrock-Torquay, Dún Laoghaire-Rathdown","€","109385"
"Median Gross Household Income","2022","Glencullen, Dún Laoghaire-Rathdown","€","102170"
"Median Gross Household Income","2022","Killiney North, Dún Laoghaire-Rathdown","€","91707"
"Median Gross Household Income","2022","Killiney South, Dún Laoghaire-Rathdown","€","60013"
"Median Gross Household Income","2022","Shankill-Rathmichael, Dún Laoghaire-Rathdown","€","75972"
"Median Gross Household Income","2022","Shankill-Rathsallagh, Dún Laoghaire-Rathdown","€","62742"
"Median Gross Household Income","2022","Shankill-Shanganagh, Dún Laoghaire-Rathdown","€","78072"
"Median Gross Household Income","2022","Stillorgan-Deerpark, Dún Laoghaire-Rathdown","€","105398"
"Median Gross Household Income","2022","Stillorgan-Kilmacud, Dún Laoghaire-Rathdown","€","93177"
